Size_KB,PreferL1_ns,PreferEqual_ns,PreferShared_ns
2,19.784,19.784,19.784
4,19.784,19.784,19.784
8,19.7882,19.7882,19.7882
16,19.856,19.8563,19.856
32,20.2676,20.2681,122.19
64,21.4682,21.4678,143.307
128,24.1147,65.0282,149.746
256,80.6266,129.227,151.819
512,130.373,144.263,153.074
1024,143.766,149.997,153.737
2048,149.36,152.291,154.029
4096,151.933,153.383,154.157
8192,153.167,153.852,154.221
16384,153.766,154.086,154.263
32768,154.052,154.192,154.28
65536,162.994,164.317,166.007
131072,253.039,253.073,253.117
262144,336.467,336.463,336.474
524288,381.396,381.415,381.411
1.04858e+06,403.687,403.702,403.715
